feature,importance
hist_atraso_empresa_50,20.187701969082255
hist_atraso_num_voo_10,14.188833878032103
atrasos_mesmo_aeroporto_1h_hist,13.483278976708231
rota,11.83319617426476
icao_empresa,5.0645908965727315
origem_icao,3.9627036400784803
hist_atraso_origem_hora_30,3.9382963443128354
hist_atraso_rota_30,3.7598606644001467
destino_icao,3.046600460083097
sched_block_min,2.3848842023470915
mes,1.9798595748393921
hora_bloco_30,1.391476359100388
hora_cos,1.358013497688648
chuva_arr_id,1.3052609258618448
chuva_id,1.2890794998369905
dist_km,1.237604374394745
hora_sin,1.1342324324331694
hora_partida_prevista,0.9097273572048568
is_weekend,0.8725552214792642
dia_semana,0.8429303622452257
congestion_ratio,0.8229706901959815
load_origem_15,0.7875256852201615
hist_std_rota_30,0.6660021801037741
sched_block_bucket,0.5582173305634466
tempo_ruim_arr_id,0.4055200699711944
is_feriado,0.3924442949345333
congestion_bucket,0.3551615140905903
is_vespera_feriado,0.3214037340060385
periodo_dia_id,0.31955022702410885
tempo_ruim_id,0.2731309228061423
hist_vol_rota_30,0.1946632284937635
wx_dep_cov,0.1828750108961325
wx_dep_all_missing,0.17807382663635343
wx_arr_cov,0.1458114945862314
wx_arr_all_missing,0.12652602212661904
em_ferias,0.052487677047718055
airport_size_id,0.04694928033097723
