Name,Precision,Recall,F1,Accuracy,Alerts/100,BaseRate/100
TRAIN,0.8358892650866361,0.2228518113963226,0.3518885608369915,0.7126848137459745,9.3,35.0
VAL,0.6,0.13747807590401911,0.22369979050915384,0.8327271062031428,4.0,17.5
TEST,0.5872549019607843,0.24146085834833786,0.3422140123021843,0.7793020165103381,9.8,23.8
