feature,importance
hist_atraso_empresa_50,0.2536919437859849
hist_atraso_num_voo_10,0.17148182739254486
atrasos_mesmo_aeroporto_1h_hist,0.11347220242392925
hist_atraso_origem_hora_30,0.10726073349368422
hist_atraso_rota_30,0.09330047925856541
hist_std_rota_30,0.0625904915138246
icao_empresa,0.026332169148218773
hora_sin,0.0157038344320564
sched_block_min,0.014801887518448043
rota,0.013973803870143728
hora_bloco_30,0.013180818215710663
destino_icao,0.01202165997422985
hora_partida_prevista,0.011764553090834897
dist_km,0.010516302757502285
origem_icao,0.009569874870357464
hora_cos,0.009326099438399571
congestion_ratio,0.006177167397163205
load_origem_15,0.006078579769932349
dia_semana,0.005638097883040741
periodo_dia_id,0.0051764680102322535
sched_block_bucket,0.005135446525726203
mes,0.00463086067686693
chuva_id,0.0033366576739602
is_weekend,0.0033002321831142956
tempo_ruim_arr_id,0.003191964544694278
tempo_ruim_id,0.0030040242277936248
chuva_arr_id,0.002628272910655774
wx_dep_cov,0.002558016037219059
wx_arr_cov,0.002113393357218454
congestion_bucket,0.002049726317205365
wx_dep_all_missing,0.001312128186938819
hist_vol_rota_30,0.0010519850463492162
wx_arr_all_missing,0.0010328079321406112
airport_size_id,0.0008119429990286463
em_ferias,0.0008009900304275311
is_feriado,0.0006328671283848275
is_vespera_feriado,0.00034968997747257
